,dataset,fname,label,sublabel
0,a,set_a/artifact__201012172012.wav,artifact,
1,a,set_a/artifact__201105040918.wav,artifact,
2,a,set_a/artifact__201105041959.wav,artifact,
3,a,set_a/artifact__201105051017.wav,artifact,
4,a,set_a/artifact__201105060108.wav,artifact,
5,a,set_a/artifact__201105061143.wav,artifact,
6,a,set_a/artifact__201105190800.wav,artifact,
7,a,set_a/artifact__201105280851.wav,artifact,
8,a,set_a/artifact__201106010559.wav,artifact,
9,a,set_a/artifact__201106010602.wav,artifact,
10,a,set_a/artifact__201106021541.wav,artifact,
11,a,set_a/artifact__201106030612.wav,artifact,
12,a,set_a/artifact__201106031558.wav,artifact,
13,a,set_a/artifact__201106040722.wav,artifact,
14,a,set_a/artifact__201106040933.wav,artifact,
15,a,set_a/artifact__201106040947.wav,artifact,
16,a,set_a/artifact__201106041452.wav,artifact,
17,a,set_a/artifact__201106050353.wav,artifact,
18,a,set_a/artifact__201106061233.wav,artifact,
19,a,set_a/artifact__201106070537.wav,artifact,
20,a,set_a/artifact__201106070949.wav,artifact,
21,a,set_a/artifact__201106101314.wav,artifact,
22,a,set_a/artifact__201106101955.wav,artifact,
23,a,set_a/artifact__201106110909.wav,artifact,
24,a,set_a/artifact__201106111119.wav,artifact,
25,a,set_a/artifact__201106121242.wav,artifact,
26,a,set_a/artifact__201106121445.wav,artifact,
27,a,set_a/artifact__201106131834.wav,artifact,
28,a,set_a/artifact__201106131835.wav,artifact,
29,a,set_a/artifact__201106141701.wav,artifact,
30,a,set_a/artifact__201106161016.wav,artifact,
31,a,set_a/artifact__201106161019.wav,artifact,
32,a,set_a/artifact__201106161219.wav,artifact,
33,a,set_a/artifact__201106171003.wav,artifact,
34,a,set_a/artifact__201106190520.wav,artifact,
35,a,set_a/artifact__201106211041.wav,artifact,
36,a,set_a/artifact__201106211430.wav,artifact,
37,a,set_a/artifact__201106212112.wav,artifact,
38,a,set_a/artifact__201106220340.wav,artifact,
39,a,set_a/artifact__201106221254.wav,artifact,
40,a,set_a/extrahls__201101070953.wav,extrahls,
41,a,set_a/extrahls__201101091153.wav,extrahls,
42,a,set_a/extrahls__201101152255.wav,extrahls,
43,a,set_a/extrahls__201101160804.wav,extrahls,
44,a,set_a/extrahls__201101160808.wav,extrahls,
45,a,set_a/extrahls__201101161027.wav,extrahls,
46,a,set_a/extrahls__201101241423.wav,extrahls,
47,a,set_a/extrahls__201101241433.wav,extrahls,
48,a,set_a/extrahls__201102070251.wav,extrahls,
49,a,set_a/extrahls__201102071835.wav,extrahls,
50,a,set_a/extrahls__201102241217.wav,extrahls,
51,a,set_a/extrahls__201103150114.wav,extrahls,
52,a,set_a/extrahls__201103170134.wav,extrahls,
53,a,set_a/extrahls__201103182227.wav,extrahls,
54,a,set_a/extrahls__201103200218.wav,extrahls,
55,a,set_a/extrahls__201104021355.wav,extrahls,
56,a,set_a/extrahls__201104140118.wav,extrahls,
57,a,set_a/extrahls__201104270458.wav,extrahls,
58,a,set_a/extrahls__201104270459.wav,extrahls,
59,a,set_a/murmur__201101051104.wav,murmur,
60,a,set_a/murmur__201101051108.wav,murmur,
61,a,set_a/murmur__201101051114.wav,murmur,
62,a,set_a/murmur__201101180902.wav,murmur,
63,a,set_a/murmur__201102051443.wav,murmur,
64,a,set_a/murmur__201102052338.wav,murmur,
65,a,set_a/murmur__201103291548.wav,murmur,
66,a,set_a/murmur__201104021355.wav,murmur,
67,a,set_a/murmur__201104241315.wav,murmur,
68,a,set_a/murmur__201104291843.wav,murmur,
69,a,set_a/murmur__201106141148.wav,murmur,
70,a,set_a/murmur__201108222221.wav,murmur,
71,a,set_a/murmur__201108222223.wav,murmur,
72,a,set_a/murmur__201108222224.wav,murmur,
73,a,set_a/murmur__201108222226.wav,murmur,
74,a,set_a/murmur__201108222227.wav,murmur,
75,a,set_a/murmur__201108222231.wav,murmur,
76,a,set_a/murmur__201108222232.wav,murmur,
77,a,set_a/murmur__201108222233.wav,murmur,
78,a,set_a/murmur__201108222235.wav,murmur,
79,a,set_a/murmur__201108222236.wav,murmur,
80,a,set_a/murmur__201108222237.wav,murmur,
81,a,set_a/murmur__201108222238.wav,murmur,
82,a,set_a/murmur__201108222242.wav,murmur,
83,a,set_a/murmur__201108222243.wav,murmur,
84,a,set_a/murmur__201108222245.wav,murmur,
85,a,set_a/murmur__201108222246.wav,murmur,
86,a,set_a/murmur__201108222248.wav,murmur,
87,a,set_a/murmur__201108222251.wav,murmur,
88,a,set_a/murmur__201108222252.wav,murmur,
89,a,set_a/murmur__201108222253.wav,murmur,
90,a,set_a/murmur__201108222255.wav,murmur,
91,a,set_a/murmur__201108222256.wav,murmur,
92,a,set_a/murmur__201108222258.wav,murmur,
93,a,set_a/normal__201101070538.wav,normal,
94,a,set_a/normal__201101151127.wav,normal,
95,a,set_a/normal__201102081152.wav,normal,
96,a,set_a/normal__201102081321.wav,normal,
97,a,set_a/normal__201102201230.wav,normal,
98,a,set_a/normal__201102260502.wav,normal,
99,a,set_a/normal__201102270940.wav,normal,
100,a,set_a/normal__201103090635.wav,normal,
101,a,set_a/normal__201103101140.wav,normal,
102,a,set_a/normal__201103140132.wav,normal,
103,a,set_a/normal__201103140135.wav,normal,
104,a,set_a/normal__201103140822.wav,normal,
105,a,set_a/normal__201103151912.wav,normal,
106,a,set_a/normal__201103170121.wav,normal,
107,a,set_a/normal__201103221214.wav,normal,
108,a,set_a/normal__201104122156.wav,normal,
109,a,set_a/normal__201104141251.wav,normal,
110,a,set_a/normal__201105011626.wav,normal,
111,a,set_a/normal__201105021654.wav,normal,
112,a,set_a/normal__201105021804.wav,normal,
113,a,set_a/normal__201105151450.wav,normal,
114,a,set_a/normal__201106111136.wav,normal,
115,a,set_a/normal__201106141148.wav,normal,
116,a,set_a/normal__201106151236.wav,normal,
117,a,set_a/normal__201106210943.wav,normal,
118,a,set_a/normal__201106221418.wav,normal,
119,a,set_a/normal__201106221450.wav,normal,
120,a,set_a/normal__201108011112.wav,normal,
121,a,set_a/normal__201108011114.wav,normal,
122,a,set_a/normal__201108011115.wav,normal,
123,a,set_a/normal__201108011118.wav,normal,
124,a,set_a/__201012172010.wav,,
125,a,set_a/__201101051105.wav,,
126,a,set_a/__201101061552.wav,,
127,a,set_a/__201101091156.wav,,
128,a,set_a/__201101110659.wav,,
129,a,set_a/__201101152256.wav,,
130,a,set_a/__201101220549.wav,,
131,a,set_a/__201101241434.wav,,
132,a,set_a/__201102081033.wav,,
133,a,set_a/__201102081045.wav,,
134,a,set_a/__201102200848.wav,,
135,a,set_a/__201103011036.wav,,
136,a,set_a/__201103140236.wav,,
137,a,set_a/__201103170122.wav,,
138,a,set_a/__201103200518.wav,,
139,a,set_a/__201103201314.wav,,
140,a,set_a/__201103232251.wav,,
141,a,set_a/__201103241336.wav,,
142,a,set_a/__201104012144.wav,,
143,a,set_a/__2011040239.wav,,
144,a,set_a/__201105011546.wav,,
145,a,set_a/__20110501548.wav,,
146,a,set_a/__201105031730.wav,,
147,a,set_a/__201106010807.wav,,
148,a,set_a/__201106030607.wav,,
149,a,set_a/__201106031556.wav,,
150,a,set_a/__201106040930.wav,,
151,a,set_a/__201106061104.wav,,
152,a,set_a/__201106061215.wav,,
153,a,set_a/__201106100606.wav,,
154,a,set_a/__201106111419.wav,,
155,a,set_a/__201106120928.wav,,
156,a,set_a/__201106130440.wav,,
157,a,set_a/__201106150614.wav,,
158,a,set_a/__201106170857.wav,,
159,a,set_a/__201106171155.wav,,
160,a,set_a/__201106191034.wav,,
161,a,set_a/__201106211725.wav,,
162,a,set_a/__201106212102.wav,,
163,a,set_a/__201108011111.wav,,
164,a,set_a/__201108011113.wav,,
165,a,set_a/__201108011116.wav,,
166,a,set_a/__201108011117.wav,,
167,a,set_a/__201108222222.wav,,
168,a,set_a/__201108222225.wav,,
169,a,set_a/__201108222228.wav,,
170,a,set_a/__201108222234.wav,,
171,a,set_a/__201108222241.wav,,
172,a,set_a/__201108222244.wav,,
173,a,set_a/__201108222247.wav,,
174,a,set_a/__201108222254.wav,,
175,a,set_a/__201108222257.wav,,
